Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
"Green, John",Looking for Alaska,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Green, John",Looking for Alaska,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
"Green, John",Looking for Alaska,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Green, John",Looking for Alaska,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Green, John",Looking for Alaska,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator
"Green, John",Looking for Alaska,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Green, John","Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Tennessee,Collierville Schools,February 2022,Administrator
"Green, John","Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,Granbury Independent School District,January 2022,Administrator
"Green, John","Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,Klein Independent School District,November 2021,Administrator
"Green, John","Will Grayson, Will Grayson (Will Grayson, Will Grayson Series)",Banned Pending Investigation,"Levithan, David",,,Texas,North East Independent School District,December 2021,Administrator
"Green, Katie",Lighter than My Shadow,Banned in Libraries and Classrooms,,,,Pennsylvania,Eastern Lancaster County School District,October 2021,Administrator
"Green, Laci","Sex Plus: Learning, Loving, and Enjoying Your Body",Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Greenfield, Eloise",Rosa Parks,Banned Pending Investigation,,"Ashby, Gil",,Florida,Volusia County Schools,September 2021,Administrator
"Greenfield, Eloise",The Great Migration: Journey to the North,Banned Pending Investigation,,"Gilchrist, Jan Spivey",,Florida,Duval County Public Schools,January 2022,Administrator
"Greenman, Catherine",Hooked,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Gregorio, I. W.",None of the Above,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator
"Gregorio, I. W.",None of the Above,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Grehan, Meg",The Deepest Breath,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Grimes, Nikki",Make Way for Dyamonde Daniel (Dyamonde Daniel Series),Banned Pending Investigation,,"Christie, R. Gregory",,Florida,Duval County Public Schools,January 2022,Administrator
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Grimes, Nikki",Ordinary Hazards,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Groff, Lauren",Fates and Furies,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Gruen, Sara",Water for Elephants,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Guidroz, Rukhsanna",Leila in Saffron,Banned in Classrooms,,"Mirtalipova, Dinara",,Pennsylvania,Central York School District,August 2021,Administrator
"Gutting, Gary",What Philosophy Can Do,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Georgia,Cherokee County School District,March 2022,Formal Challenge
"Gyasi, Yaa",Homegoing,Banned in Libraries,,,,Missouri,Nixa Public Schools,May 2022,Formal Challenge
"Gyasi, Yaa",Homegoing,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Haack, Daniel",Prince & Knight (Prince & Knight Series),Banned in Classrooms,,"Lewis, Stevie",,Pennsylvania,Central York School District,August 2021,Administrator
"Hammond, Zaretta",Culturally Responsive Teaching and The Brain: Promoting Authentic Engagement and Rigor Among Culturally and Linguistically Diverse Students,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Han, Jenny",To All the Boys I've Loved Before (To All the Boys I've Loved Before Series),Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Administrator
"Haney, Johannah",The Abortion Debate: Understanding the Issues (Issues in Focus Today),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Hansberry, Lorraine",A Raisin in the Sun,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator
"Harbach, Chad",The Art of Fielding,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Harmon, Michael",The Last Exit to Normal,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Harmon, Michael",The Last Exit to Normal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Harris, Charlaine",Dead Until Dark (Sookie Stackhouse Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Harris, Duchess",Political Resistance in the Current Age,Banned Pending Investigation,"Turner, Myra Faye",,,Texas,Klein Independent School District,November 2021,Administrator
"Harris, Robie H.","It's Not the Stork!: A Book About Girls, Boys, Babies, Bodies, Families and Friends",Banned Pending Investigation,,"Emberley, Michael",,Texas,North East Independent School District,December 2021,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,,"Emberley, Michael",,Florida,Polk County Public Schools,January 2022,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,Florida,Walton County School District,April 2022,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Idaho,Nampa School District,May 2022,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Indiana,Carmel Clay Schools,July 2021,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned Pending Investigation,,"Emberley, Michael",,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries,,"Emberley, Michael",,Texas,North East Independent School District,December 2021,Administrator
"Harris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Banned in Libraries and Classrooms,,"Emberley, Michael",,Wisconsin,School District of Waukesha,December 2021,Administrator
"Harrison, Vashti",Little Leaders: Bold Women in Black History,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Harrison, Vashti",Little Legends: Exceptional Men in Black History,Banned in Classrooms,,"Johnson, Kwesi",,Pennsylvania,Central York School District,August 2021,Administrator
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Hartinger, Brent",Geography Club (Russel Middlebrook Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Hartzler, Aaron",Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Hartzler, Aaron",What We Saw,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Hartzler, Aaron",What We Saw,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator
"Hashimi, Nadia",One Half from the East,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Haskins, James",The Scottsboro Boys,Banned in Libraries and Classrooms,,,,Iowa,Keokuk Community School District,April 2022,Formal Challenge
"Hassan, Ndaa",Ramadan Around The World,Banned in Classrooms,,"Momin, Azra",,Pennsylvania,Central York School District,August 2021,Administrator
"Hawkins, Rachel",Her Royal Highness,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Hawkins, Rachel",Her Royal Highness,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Hawkins, Rachel",Her Royal Highness (Royals Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Heaney, Katie",Girl Crushed,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Heaney, Katie",Girl Crushed,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Heide, Florence Parry",The Day of Ahmed's Secret,Banned Pending Investigation,"Gilliland, Judith Heide","Lewin, Ted",,Florida,Duval County Public Schools,January 2022,Administrator
"Helms, Rhonda",Promposal,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to Teens' Questions About Sex, Sexuality, and Health",Banned Pending Investigation,"Armstrong, Nancy",,,Texas,Klein Independent School District,December 2021,Administrator
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,Granbury Independent School District,January 2022,Administrator
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,North East Independent School District,December 2021,Administrator
"Hennessey, M. G.",The Other Boy,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Heppermann, Christine",Ask Me How I Got Here,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Herman, Christine Lynn",The Devouring Gray (The Devouring Gray Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Herman, Gail",Who Is Derek Jeter? (Who was...? Series),Banned in Classrooms,,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Administrator
"Hernandez, Carlos",Sal and Gabi Break the Universe (Sal and Gabi Series),Banned in Classrooms,,,,North Carolina,Wilkes County School District,May 2022,Administrator
"Hesse, Monica",The War Outside,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Higginbotham, Anastasia",Not My Idea: A Book About Whiteness (Ordinary Terrible Things Series),Banned in Libraries and Classrooms,,,,Wisconsin,School District of Waukesha,December 2021,Administrator
"Hill, Katie Rain",Rethinking Normal: A Memoir in Transition,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Hill, Laban Carrick",When the Beat Was Born: DJ Kool Herc and the Creation of Hip Hop,Banned in Classrooms,,"Taylor III, Theodore",,Pennsylvania,Central York School District,August 2021,Administrator
"Hillstrom, Laurie Collier",Black Lives Matter: From a Moment to a Movement,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Hinebaugh, Olivia","The Birds, the Bees, and You and Me",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Hinton, S. E.",The Outsiders,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
